Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;
01/10/2011;597;West Brom;0;2;2;D;
01/10/2011;562;Newcastle;0;1;2;A;
02/10/2011;519;Chelsea;0;1;5;A;
02/10/2011;18619;QPR;0;6;0;H;
02/10/2011;0;Stoke;0;2;0;H;
02/10/2011;494;Arsenal;0;2;1;H;
15/10/2011;8560;Everton;0;3;1;H;
15/10/2011;556;Man United;0;1;1;D;
15/10/2011;495;Aston Villa;0;4;1;H;
15/10/2011;12273;Swansea;0;3;1;H;
15/10/2011;500;Blackburn;0;1;1;D;
15/10/2011;535;Fulham;0;2;0;H;
15/10/2011;502;Bolton;0;1;3;A;
16/10/2011;589;Sunderland;0;2;1;H;
16/10/2011;593;Tottenham;0;2;2;D;
16/10/2011;600;Wolves;0;2;0;H;
22/10/2011;597;West Brom;0;1;2;A;
22/10/2011;589;Sunderland;0;0;2;A;
22/10/2011;565;Norwich;0;1;1;D;
22/10/2011;599;Wigan;0;1;0;H;
22/10/2011;12273;Swansea;0;2;2;D;
23/10/2011;0;Stoke;0;3;1;H;
23/10/2011;593;Tottenham;0;1;2;A;
23/10/2011;8560;Everton;0;1;3;A;
23/10/2011;555;Man City;0;1;6;A;
23/10/2011;519;Chelsea;0;1;0;H;
29/10/2011;494;Arsenal;0;3;5;A;
29/10/2011;556;Man United;0;0;1;A;
29/10/2011;600;Wolves;0;3;1;H;
29/10/2011;500;Blackburn;0;3;3;D;
29/10/2011;495;Aston Villa;0;2;2;D;
29/10/2011;502;Bolton;0;3;1;H;
29/10/2011;550;Liverpool;0;0;2;A;
29/10/2011;535;Fulham;0;0;2;A;
30/10/2011;18619;QPR;0;3;1;H;
31/10/2011;562;Newcastle;0;1;3;A;
05/11/2011;597;West Brom;0;3;0;H;
05/11/2011;565;Norwich;0;3;2;H;
05/11/2011;519;Chelsea;0;0;1;A;
05/11/2011;12273;Swansea;0;0;0;D;
05/11/2011;589;Sunderland;0;1;0;H;
05/11/2011;8560;Everton;0;2;1;H;
05/11/2011;555;Man City;0;2;3;A;
06/11/2011;0;Stoke;0;5;0;H;
06/11/2011;593;Tottenham;0;1;3;A;
06/11/2011;599;Wigan;0;3;1;H;
19/11/2011;600;Wolves;0;2;1;H;
19/11/2011;562;Newcastle;0;3;1;H;
19/11/2011;494;Arsenal;0;1;2;A;
19/11/2011;18619;QPR;0;2;3;A;
19/11/2011;535;Fulham;0;0;0;D;
19/11/2011;556;Man United;0;0;1;A;
19/11/2011;502;Bolton;0;2;1;H;
19/11/2011;500;Blackburn;0;3;3;D;
20/11/2011;550;Liverpool;0;1;2;A;
21/11/2011;495;Aston Villa;0;2;0;H;
26/11/2011;535;Fulham;0;1;1;D;
26/11/2011;8560;Everton;0;0;2;A;
26/11/2011;600;Wolves;0;3;0;H;
26/11/2011;562;Newcastle;0;1;1;D;
26/11/2011;18619;QPR;0;2;1;H;
26/11/2011;500;Blackburn;0;3;1;H;
26/11/2011;599;Wigan;0;1;2;A;
26/11/2011;593;Tottenham;0;1;3;A;
27/11/2011;555;Man City;0;1;1;D;
27/11/2011;495;Aston Villa;0;0;0;D;
03/12/2011;556;Man United;0;0;1;A;
03/12/2011;12273;Swansea;0;4;2;H;
03/12/2011;565;Norwich;0;5;1;H;
03/12/2011;519;Chelsea;0;0;3;A;
03/12/2011;597;West Brom;0;1;1;D;
03/12/2011;502;Bolton;0;3;0;H;
03/12/2011;494;Arsenal;0;0;4;A;
04/12/2011;0;Stoke;0;0;1;A;
04/12/2011;589;Sunderland;0;2;1;H;
05/12/2011;550;Liverpool;0;1;0;H;
10/12/2011;8560;Everton;0;1;0;H;
10/12/2011;495;Aston Villa;0;1;2;A;
10/12/2011;18619;QPR;0;1;0;H;
10/12/2011;600;Wolves;0;4;1;H;
10/12/2011;562;Newcastle;0;4;2;H;
10/12/2011;535;Fulham;0;2;0;H;
10/12/2011;599;Wigan;0;1;2;A;
11/12/2011;593;Tottenham;0;2;1;H;
11/12/2011;500;Blackburn;0;2;1;H;
12/12/2011;555;Man City;0;2;1;H;
17/12/2011;597;West Brom;0;1;2;A;
17/12/2011;565;Norwich;0;1;1;D;
17/12/2011;502;Bolton;0;2;0;H;
17/12/2011;12273;Swansea;0;0;0;D;
17/12/2011;519;Chelsea;0;1;1;D;
17/12/2011;0;Stoke;0;1;2;A;
18/12/2011;550;Liverpool;0;0;2;A;
18/12/2011;494;Arsenal;0;1;0;H;
