Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;
30/04/2022;596;Watford;512;Burnley;1;2;
30/04/2022;600;Wolves;508;Brighton;0;3;
30/04/2022;546;Leeds;555;Man City;0;4;
01/05/2022;8560;Everton;519;Chelsea;1;0;
01/05/2022;593;Tottenham;547;Leicester;3;1;
01/05/2022;598;West Ham;494;Arsenal;1;2;
02/05/2022;556;Man United;10503;Brentford;3;0;
07/05/2022;10503;Brentford;585;Southampton;3;0;
07/05/2022;512;Burnley;495;Aston Villa;1;3;
07/05/2022;519;Chelsea;600;Wolves;2;2;
07/05/2022;525;Crystal Palace;596;Watford;1;0;
07/05/2022;508;Brighton;556;Man United;4;0;
07/05/2022;550;Liverpool;593;Tottenham;1;1;
08/05/2022;494;Arsenal;546;Leeds;2;1;
08/05/2022;547;Leicester;8560;Everton;1;2;
08/05/2022;565;Norwich;598;West Ham;0;4;
08/05/2022;555;Man City;562;Newcastle;5;0;
10/05/2022;495;Aston Villa;550;Liverpool;1;2;
11/05/2022;546;Leeds;519;Chelsea;0;3;
11/05/2022;547;Leicester;565;Norwich;3;0;
11/05/2022;596;Watford;8560;Everton;0;0;
11/05/2022;600;Wolves;555;Man City;1;5;
12/05/2022;593;Tottenham;494;Arsenal;3;0;
15/05/2022;593;Tottenham;512;Burnley;1;0;
15/05/2022;495;Aston Villa;525;Crystal Palace;1;1;
15/05/2022;546;Leeds;508;Brighton;1;1;
15/05/2022;596;Watford;547;Leicester;1;5;
15/05/2022;598;West Ham;555;Man City;2;2;
15/05/2022;600;Wolves;565;Norwich;1;1;
15/05/2022;8560;Everton;10503;Brentford;2;3;
16/05/2022;562;Newcastle;494;Arsenal;2;0;
17/05/2022;585;Southampton;550;Liverpool;1;2;
19/05/2022;8560;Everton;525;Crystal Palace;3;2;
19/05/2022;495;Aston Villa;512;Burnley;1;1;
19/05/2022;519;Chelsea;547;Leicester;1;1;
22/05/2022;494;Arsenal;8560;Everton;5;1;
22/05/2022;10503;Brentford;546;Leeds;1;2;
22/05/2022;508;Brighton;598;West Ham;3;1;
22/05/2022;512;Burnley;562;Newcastle;1;2;
22/05/2022;519;Chelsea;596;Watford;2;1;
22/05/2022;525;Crystal Palace;556;Man United;1;0;
22/05/2022;547;Leicester;585;Southampton;4;1;
22/05/2022;550;Liverpool;600;Wolves;3;1;
22/05/2022;555;Man City;495;Aston Villa;3;2;
22/05/2022;565;Norwich;593;Tottenham;0;5;
