Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
13/11/2010;47;Tottenham;67;Blackburn;4;2;H;1.57;3.8;6.5;1.83;1.94;39;
13/11/2010;48;West Ham;1356;Blackpool;0;0;D;1.91;3.6;4;1.66;2.17;39;
13/11/2010;61;Wigan;60;West Brom;1;0;H;2.5;3.25;2.88;1.97;1.81;39;
13/11/2010;39;Wolves;68;Bolton;2;3;A;2.4;3.1;3.2;2.08;1.71;39;
14/11/2010;49;Chelsea;746;Sunderland;0;3;A;1.22;5.75;15;1.57;2.32;39;
14/11/2010;45;Everton;42;Arsenal;1;2;A;3.4;3.3;2.2;1.95;1.83;39;
20/11/2010;42;Arsenal;47;Tottenham;2;3;A;1.62;4;5.5;1.64;2.2;39;
20/11/2010;54;Birmingham;49;Chelsea;1;0;H;5;3.6;1.73;1.99;1.79;39;
20/11/2010;1356;Blackpool;39;Wolves;2;1;H;2.5;3.3;2.88;1.69;2.11;39;
20/11/2010;68;Bolton;34;Newcastle;5;1;H;2.1;3.3;3.6;1.92;1.85;39;
20/11/2010;40;Liverpool;48;West Ham;3;0;H;1.57;3.8;6.5;1.92;1.85;39;
20/11/2010;33;Man United;61;Wigan;2;0;H;1.22;6;15;1.58;2.3;39;
20/11/2010;60;West Brom;75;Stoke;0;3;A;2.2;3.2;3.5;2.02;1.76;39;
21/11/2010;67;Blackburn;66;Aston Villa;2;0;H;2.3;3.25;3.25;2.15;1.67;39;
21/11/2010;36;Fulham;50;Man City;1;4;A;3.2;3.1;2.4;2.14;1.67;39;
22/11/2010;746;Sunderland;45;Everton;2;2;D;2.6;3.2;2.8;2.27;1.6;39;
27/11/2010;66;Aston Villa;42;Arsenal;2;4;A;3.4;3.3;2.2;1.92;1.84;39;
27/11/2010;68;Bolton;1356;Blackpool;2;2;D;1.57;4.2;5.5;1.53;2.4;39;
27/11/2010;45;Everton;60;West Brom;1;4;A;1.57;3.8;6.5;1.8;1.96;39;
27/11/2010;36;Fulham;54;Birmingham;1;1;D;2;3.3;4;2.23;1.62;39;
27/11/2010;33;Man United;67;Blackburn;7;1;H;1.25;5.5;13;1.64;2.17;39;
27/11/2010;75;Stoke;50;Man City;1;1;D;3.4;3.25;2.2;2.14;1.67;39;
27/11/2010;48;West Ham;61;Wigan;3;1;H;2;3.5;3.75;2.03;1.75;39;
27/11/2010;39;Wolves;746;Sunderland;3;2;H;2.6;3.2;2.8;2.02;1.76;39;
28/11/2010;34;Newcastle;49;Chelsea;1;1;D;5;3.6;1.73;1.75;1.98;39;
28/11/2010;47;Tottenham;40;Liverpool;2;1;H;2;3.4;3.8;1.88;1.87;39;
04/12/2010;42;Arsenal;36;Fulham;2;1;H;1.29;5.25;12;1.6;2.24;39;
04/12/2010;54;Birmingham;47;Tottenham;1;1;D;3.5;3.4;2.1;1.95;1.82;39;
04/12/2010;67;Blackburn;39;Wolves;3;0;H;1.73;3.6;5;1.88;1.9;39;
04/12/2010;49;Chelsea;45;Everton;1;1;D;1.36;4.75;9;1.71;2.09;39;
04/12/2010;50;Man City;68;Bolton;1;0;H;1.53;4;6.5;1.87;1.9;39;
04/12/2010;61;Wigan;75;Stoke;2;2;D;2.75;3.2;2.63;2.26;1.6;39;
05/12/2010;746;Sunderland;48;West Ham;1;0;H;1.83;3.5;4.5;2.02;1.77;39;
05/12/2010;60;West Brom;34;Newcastle;3;1;H;2.25;3.3;3.25;1.84;1.94;39;
06/12/2010;40;Liverpool;66;Aston Villa;3;0;H;1.62;3.75;6;1.93;1.84;39;
11/12/2010;66;Aston Villa;60;West Brom;2;1;H;2.1;3.3;3.6;1.77;2.01;39;
11/12/2010;45;Everton;61;Wigan;0;0;D;1.4;4.5;9;1.83;1.95;39;
11/12/2010;36;Fulham;746;Sunderland;0;0;D;2.2;3.25;3.4;2.23;1.62;39;
11/12/2010;34;Newcastle;40;Liverpool;3;1;H;3.8;3.4;2;1.93;1.85;39;
11/12/2010;75;Stoke;1356;Blackpool;0;1;A;1.62;4;5.5;1.61;2.24;39;
11/12/2010;48;West Ham;50;Man City;1;3;A;4.5;3.6;1.8;1.97;1.81;39;
12/12/2010;68;Bolton;67;Blackburn;2;1;H;2;3.3;4;1.9;1.88;39;
12/12/2010;47;Tottenham;49;Chelsea;1;1;D;2.8;3.25;2.6;1.95;1.83;39;
12/12/2010;39;Wolves;54;Birmingham;1;0;H;2.4;3.25;3;2.13;1.68;39;
13/12/2010;33;Man United;42;Arsenal;1;0;H;2;3.4;3.8;1.87;1.9;39;
18/12/2010;67;Blackburn;48;West Ham;1;1;D;1.8;3.6;4.5;1.84;1.93;39;
18/12/2010;746;Sunderland;68;Bolton;1;0;H;2.2;3.2;3.5;1.99;1.79;39;
20/12/2010;50;Man City;45;Everton;1;2;A;1.73;3.6;5;2.01;1.77;39;
26/12/2010;66;Aston Villa;47;Tottenham;1;2;A;3.2;3.3;2.3;1.86;1.91;39;
26/12/2010;67;Blackburn;75;Stoke;0;2;A;2.3;3.2;3.2;2.05;1.74;39;
26/12/2010;68;Bolton;60;West Brom;2;0;H;2.1;3.25;3.75;1.78;2;39;
26/12/2010;36;Fulham;48;West Ham;1;3;A;1.91;3.4;4.2;2.17;1.66;39;
26/12/2010;33;Man United;746;Sunderland;2;0;H;1.29;5.5;11;1.68;2.14;39;
26/12/2010;34;Newcastle;50;Man City;1;3;A;3.25;3.25;2.25;1.91;1.86;39;
26/12/2010;39;Wolves;61;Wigan;1;2;A;2.1;3.3;3.6;2.14;1.68;39;
27/12/2010;42;Arsenal;49;Chelsea;3;1;H;2.63;3.2;2.75;1.88;1.89;39;
28/12/2010;54;Birmingham;33;Man United;1;1;D;6.5;4.33;1.5;2.01;1.78;39;
28/12/2010;50;Man City;66;Aston Villa;4;0;H;1.44;4.2;8;1.84;1.94;39;
28/12/2010;75;Stoke;36;Fulham;0;2;A;1.83;3.4;4.75;2.26;1.61;39;
28/12/2010;746;Sunderland;1356;Blackpool;0;2;A;1.62;3.75;6;1.67;2.17;39;
28/12/2010;47;Tottenham;34;Newcastle;2;0;H;1.53;4;6.5;1.67;2.16;39;
28/12/2010;60;West Brom;67;Blackburn;1;3;A;1.83;3.5;4.5;1.87;1.9;39;
28/12/2010;48;West Ham;45;Everton;1;1;D;3.4;3.2;2.25;2.08;1.72;39;
29/12/2010;49;Chelsea;68;Bolton;1;0;H;1.29;5.5;11;1.63;2.23;39;
29/12/2010;40;Liverpool;39;Wolves;0;1;A;1.33;5;10;1.66;2.17;39;
29/12/2010;61;Wigan;42;Arsenal;2;2;D;6.5;4.2;1.5;1.83;1.94;39;
