Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;
27/01/2021;8560;Everton;0;Leicester;1;1;
27/01/2021;556;Man United;0;Sheffield United;1;2;
28/01/2021;593;Tottenham;550;Liverpool;1;3;
30/01/2021;8560;Everton;562;Newcastle;0;2;
30/01/2021;0;Crystal Palace;600;Wolves;1;0;
30/01/2021;555;Man City;0;Sheffield United;1;0;
30/01/2021;597;West Brom;535;Fulham;2;2;
30/01/2021;494;Arsenal;556;Man United;0;0;
30/01/2021;0;Southampton;495;Aston Villa;0;1;
31/01/2021;519;Chelsea;0;Burnley;2;0;
31/01/2021;0;Leicester;0;Leeds;1;3;
31/01/2021;598;West Ham;550;Liverpool;1;3;
31/01/2021;0;Brighton;593;Tottenham;1;0;
02/02/2021;0;Sheffield United;597;West Brom;2;1;
02/02/2021;600;Wolves;494;Arsenal;2;1;
02/02/2021;556;Man United;0;Southampton;9;0;
02/02/2021;562;Newcastle;0;Crystal Palace;1;2;
03/02/2021;0;Burnley;555;Man City;0;2;
03/02/2021;535;Fulham;0;Leicester;0;2;
03/02/2021;0;Leeds;8560;Everton;1;2;
03/02/2021;495;Aston Villa;598;West Ham;1;3;
03/02/2021;550;Liverpool;0;Brighton;0;1;
04/02/2021;593;Tottenham;519;Chelsea;0;1;
06/02/2021;495;Aston Villa;494;Arsenal;1;0;
06/02/2021;0;Burnley;0;Brighton;1;1;
06/02/2021;562;Newcastle;0;Southampton;3;2;
06/02/2021;535;Fulham;598;West Ham;0;0;
06/02/2021;556;Man United;8560;Everton;3;3;
07/02/2021;593;Tottenham;597;West Brom;2;0;
07/02/2021;600;Wolves;0;Leicester;0;0;
07/02/2021;550;Liverpool;555;Man City;1;4;
07/02/2021;0;Sheffield United;519;Chelsea;1;2;
08/02/2021;0;Leeds;0;Crystal Palace;2;0;
13/02/2021;0;Leicester;550;Liverpool;3;1;
13/02/2021;0;Crystal Palace;0;Burnley;0;3;
13/02/2021;555;Man City;593;Tottenham;3;0;
13/02/2021;0;Brighton;495;Aston Villa;0;0;
14/02/2021;0;Southampton;600;Wolves;1;2;
